angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.02,,"[228, 185, 116, 139]",,0.0,,0.03,,0.02,,0.56,,0.36,,0.0,
0.01,,"[228, 180, 119, 144]",,0.0,,0.04,,0.07,,0.59,,0.28,,0.0,
0.01,,"[232, 182, 117, 141]",,0.0,,0.02,,0.07,,0.72,,0.18,,0.0,
0.01,,"[233, 175, 120, 148]",,0.0,,0.02,,0.25,,0.54,,0.17,,0.0,
0.0,,"[237, 176, 120, 145]",,0.0,,0.01,,0.42,,0.47,,0.09,,0.0,
0.01,,"[249, 177, 118, 143]",,0.0,,0.01,,0.16,,0.78,,0.04,,0.0,
0.0,,"[250, 177, 117, 142]",,0.0,,0.01,,0.04,,0.93,,0.02,,0.0,
0.0,,"[251, 178, 117, 141]",,0.0,,0.01,,0.01,,0.95,,0.03,,0.0,
0.01,,"[251, 174, 118, 144]",,0.0,,0.01,,0.04,,0.91,,0.03,,0.0,
0.01,,"[251, 174, 118, 144]",,0.0,,0.02,,0.04,,0.91,,0.03,,0.0,
0.02,,"[250, 174, 122, 146]",,0.0,,0.05,,0.08,,0.62,,0.23,,0.01,
0.01,,"[248, 174, 118, 148]",,0.0,,0.03,,0.06,,0.61,,0.29,,0.01,
0.02,,"[246, 181, 120, 149]",,0.0,,0.03,,0.05,,0.21,,0.68,,0.0,
0.02,,"[243, 182, 122, 149]",,0.0,,0.04,,0.05,,0.28,,0.61,,0.0,
0.02,,"[240, 183, 121, 150]",,0.0,,0.04,,0.09,,0.41,,0.43,,0.0,
0.02,,"[235, 183, 123, 150]",,0.0,,0.06,,0.05,,0.3,,0.56,,0.0,
0.01,,"[233, 185, 122, 148]",,0.0,,0.07,,0.05,,0.4,,0.46,,0.0,
0.02,,"[232, 186, 123, 148]",,0.0,,0.07,,0.05,,0.36,,0.51,,0.0,
0.01,,"[230, 185, 124, 149]",,0.0,,0.05,,0.08,,0.47,,0.39,,0.0,
0.01,,"[229, 186, 125, 151]",,0.0,,0.05,,0.05,,0.5,,0.38,,0.0,
0.02,,"[225, 180, 126, 151]",,0.0,,0.1,,0.14,,0.29,,0.45,,0.0,
0.02,,"[225, 180, 126, 151]",,0.0,,0.09,,0.17,,0.24,,0.48,,0.0,
0.05,,"[233, 188, 120, 147]",,0.0,,0.06,,0.06,,0.35,,0.47,,0.0,
0.05,,"[235, 187, 119, 146]",,0.0,,0.05,,0.06,,0.3,,0.53,,0.01,
0.03,,"[237, 185, 120, 145]",,0.0,,0.04,,0.11,,0.41,,0.41,,0.0,
0.03,,"[240, 183, 118, 144]",,0.0,,0.03,,0.11,,0.46,,0.37,,0.0,
0.01,,"[247, 174, 113, 138]",,0.0,,0.03,,0.18,,0.33,,0.44,,0.0,
0.01,,"[247, 173, 114, 141]",,0.0,,0.04,,0.15,,0.37,,0.43,,0.0,
0.02,,"[242, 175, 119, 147]",,0.0,,0.05,,0.27,,0.22,,0.44,,0.0,
0.01,,"[243, 178, 119, 149]",,0.0,,0.03,,0.18,,0.34,,0.43,,0.0,
0.01,,"[240, 180, 120, 151]",,0.0,,0.03,,0.23,,0.36,,0.36,,0.0,
0.02,,"[236, 180, 121, 151]",,0.0,,0.05,,0.36,,0.24,,0.32,,0.01,
0.02,,"[234, 182, 123, 153]",,0.0,,0.04,,0.22,,0.39,,0.32,,0.0,
0.02,,"[231, 184, 128, 156]",,0.0,,0.08,,0.09,,0.24,,0.56,,0.01,
0.02,,"[228, 186, 128, 156]",,0.0,,0.09,,0.05,,0.34,,0.48,,0.01,
0.04,,"[220, 178, 134, 160]",,0.0,,0.15,,0.12,,0.22,,0.45,,0.01,
0.03,,"[226, 186, 125, 155]",,0.0,,0.08,,0.1,,0.39,,0.4,,0.01,
0.04,,"[225, 185, 125, 154]",,0.0,,0.06,,0.2,,0.27,,0.42,,0.0,
0.04,,"[224, 186, 123, 152]",,0.0,,0.05,,0.16,,0.39,,0.35,,0.0,
0.04,,"[227, 188, 120, 146]",,0.0,,0.03,,0.11,,0.38,,0.43,,0.01,
0.06,,"[228, 183, 121, 149]",,0.0,,0.07,,0.03,,0.32,,0.51,,0.01,
0.02,,"[224, 181, 118, 144]",,0.0,,0.04,,0.14,,0.42,,0.36,,0.01,
0.06,,"[224, 173, 120, 148]",,0.0,,0.07,,0.26,,0.31,,0.29,,0.01,
0.03,,"[223, 173, 119, 147]",,0.0,,0.05,,0.12,,0.3,,0.47,,0.01,
0.03,,"[225, 174, 115, 143]",,0.0,,0.05,,0.22,,0.37,,0.33,,0.01,
0.02,,"[227, 174, 115, 142]",,0.0,,0.09,,0.1,,0.37,,0.4,,0.01,
0.02,,"[230, 180, 114, 134]",,0.0,,0.06,,0.13,,0.3,,0.49,,0.01,
0.01,,"[231, 177, 114, 136]",,0.0,,0.03,,0.19,,0.49,,0.27,,0.0,
0.02,,"[229, 169, 119, 145]",,0.0,,0.06,,0.25,,0.46,,0.2,,0.01,
0.02,,"[228, 170, 119, 145]",,0.0,,0.1,,0.16,,0.29,,0.43,,0.01,
0.02,,"[232, 171, 117, 144]",,0.0,,0.15,,0.14,,0.07,,0.61,,0.01,
0.01,,"[236, 180, 114, 140]",,0.0,,0.08,,0.07,,0.19,,0.65,,0.0,
0.01,,"[231, 181, 120, 145]",,0.0,,0.02,,0.06,,0.49,,0.42,,0.0,
0.02,,"[230, 182, 124, 150]",,0.0,,0.03,,0.13,,0.49,,0.34,,0.0,
0.01,,"[230, 179, 120, 147]",,0.0,,0.04,,0.58,,0.15,,0.23,,0.0,
0.01,,"[232, 186, 121, 147]",,0.0,,0.02,,0.27,,0.42,,0.28,,0.0,
0.01,,"[229, 184, 126, 151]",,0.0,,0.03,,0.27,,0.54,,0.15,,0.0,
0.05,,"[228, 183, 126, 151]",,0.0,,0.07,,0.06,,0.31,,0.49,,0.01,
0.06,,"[228, 183, 125, 149]",,0.0,,0.09,,0.06,,0.39,,0.39,,0.0,
0.07,,"[225, 183, 121, 151]",,0.0,,0.11,,0.03,,0.29,,0.49,,0.01,
0.01,,"[226, 182, 127, 153]",,0.0,,0.04,,0.1,,0.64,,0.2,,0.0,
0.02,,"[224, 185, 122, 149]",,0.0,,0.05,,0.1,,0.63,,0.19,,0.0,
0.02,,"[223, 182, 127, 153]",,0.0,,0.04,,0.08,,0.65,,0.21,,0.0,
0.02,,"[220, 181, 126, 151]",,0.0,,0.07,,0.22,,0.48,,0.2,,0.0,
0.01,,"[219, 179, 126, 155]",,0.0,,0.04,,0.32,,0.45,,0.17,,0.0,
0.01,,"[218, 179, 126, 156]",,0.0,,0.07,,0.22,,0.52,,0.18,,0.0,
0.01,,"[215, 179, 126, 152]",,0.0,,0.07,,0.43,,0.27,,0.22,,0.0,
0.01,,"[222, 184, 124, 153]",,0.0,,0.03,,0.1,,0.73,,0.13,,0.0,
0.03,,"[220, 185, 125, 153]",,0.0,,0.06,,0.11,,0.5,,0.29,,0.01,
0.07,,"[221, 183, 125, 153]",,0.0,,0.07,,0.06,,0.28,,0.5,,0.01,
0.04,,"[214, 172, 127, 153]",,0.0,,0.06,,0.27,,0.23,,0.39,,0.01,
0.02,,"[218, 170, 122, 154]",,0.0,,0.05,,0.16,,0.23,,0.54,,0.01,
0.03,,"[223, 173, 121, 147]",,0.0,,0.05,,0.1,,0.3,,0.5,,0.01,
0.04,,"[228, 170, 122, 147]",,0.0,,0.06,,0.06,,0.49,,0.36,,0.0,
0.02,,"[231, 167, 119, 144]",,0.0,,0.05,,0.31,,0.32,,0.3,,0.0,
0.01,,"[239, 174, 113, 137]",,0.0,,0.03,,0.09,,0.29,,0.57,,0.0,
0.01,,"[241, 172, 114, 138]",,0.0,,0.05,,0.07,,0.22,,0.65,,0.0,
0.01,,"[245, 174, 113, 138]",,0.0,,0.03,,0.11,,0.29,,0.56,,0.0,
0.01,,"[246, 172, 114, 139]",,0.0,,0.03,,0.21,,0.31,,0.44,,0.0,
0.01,,"[244, 172, 117, 141]",,0.0,,0.04,,0.2,,0.39,,0.36,,0.0,
0.01,,"[244, 172, 118, 146]",,0.0,,0.06,,0.15,,0.43,,0.36,,0.0,
0.01,,"[244, 174, 115, 142]",,0.0,,0.06,,0.05,,0.47,,0.4,,0.0,
0.01,,"[249, 175, 117, 148]",,0.0,,0.03,,0.08,,0.58,,0.29,,0.0,
0.01,,"[252, 180, 117, 144]",,0.0,,0.05,,0.16,,0.32,,0.45,,0.0,
0.02,,"[252, 180, 120, 149]",,0.0,,0.05,,0.11,,0.25,,0.57,,0.01,
0.02,,"[249, 180, 121, 149]",,0.0,,0.05,,0.16,,0.32,,0.45,,0.01,
0.01,,"[248, 181, 123, 151]",,0.0,,0.04,,0.27,,0.29,,0.39,,0.0,
0.01,,"[247, 183, 124, 151]",,0.0,,0.04,,0.23,,0.36,,0.35,,0.0,
0.01,,"[247, 190, 125, 149]",,0.0,,0.09,,0.11,,0.47,,0.31,,0.01,
0.02,,"[247, 193, 125, 148]",,0.0,,0.07,,0.11,,0.36,,0.44,,0.01,
0.01,,"[246, 192, 126, 153]",,0.0,,0.07,,0.06,,0.39,,0.47,,0.0,
0.03,,"[248, 192, 125, 152]",,0.0,,0.14,,0.13,,0.53,,0.17,,0.01,
0.03,,"[250, 189, 125, 152]",,0.0,,0.1,,0.19,,0.6,,0.08,,0.01,
0.02,,"[252, 187, 125, 152]",,0.0,,0.07,,0.2,,0.66,,0.04,,0.01,
0.02,,"[254, 182, 127, 153]",,0.0,,0.13,,0.41,,0.34,,0.07,,0.03,
0.06,,"[256, 181, 126, 155]",,0.0,,0.5,,0.21,,0.09,,0.06,,0.08,
0.02,,"[255, 178, 126, 151]",,0.0,,0.27,,0.35,,0.21,,0.07,,0.07,
0.01,,"[256, 179, 121, 148]",,0.0,,0.08,,0.5,,0.3,,0.11,,0.01,
0.01,,"[255, 179, 119, 145]",,0.0,,0.04,,0.56,,0.31,,0.07,,0.01,
0.01,,"[252, 177, 119, 148]",,0.0,,0.05,,0.33,,0.48,,0.13,,0.0,
0.01,,"[250, 178, 119, 145]",,0.0,,0.03,,0.37,,0.46,,0.12,,0.0,
0.01,,"[249, 177, 119, 146]",,0.0,,0.03,,0.29,,0.47,,0.2,,0.0,
0.01,,"[247, 177, 119, 146]",,0.0,,0.03,,0.16,,0.6,,0.19,,0.0,
0.01,,"[242, 181, 123, 149]",,0.0,,0.03,,0.05,,0.78,,0.14,,0.0,
0.04,,"[244, 189, 122, 145]",,0.0,,0.06,,0.03,,0.65,,0.22,,0.0,
0.02,,"[242, 183, 124, 151]",,0.0,,0.04,,0.05,,0.73,,0.15,,0.0,
0.02,,"[236, 182, 128, 157]",,0.0,,0.08,,0.07,,0.63,,0.18,,0.01,
0.04,,"[233, 184, 132, 164]",,0.0,,0.05,,0.12,,0.6,,0.17,,0.02,
0.04,,"[229, 189, 135, 166]",,0.0,,0.11,,0.13,,0.46,,0.21,,0.04,
0.03,,"[228, 194, 131, 162]",,0.0,,0.24,,0.05,,0.27,,0.31,,0.1,
0.02,,"[228, 197, 128, 160]",,0.0,,0.15,,0.02,,0.43,,0.3,,0.08,
0.02,,"[226, 194, 133, 166]",,0.0,,0.07,,0.04,,0.68,,0.18,,0.02,
0.01,,"[224, 194, 135, 166]",,0.0,,0.04,,0.04,,0.78,,0.12,,0.01,
0.01,,"[224, 194, 135, 167]",,0.0,,0.03,,0.03,,0.83,,0.09,,0.01,
0.02,,"[223, 197, 133, 165]",,0.0,,0.08,,0.03,,0.63,,0.21,,0.02,
0.04,,"[224, 194, 133, 164]",,0.0,,0.13,,0.05,,0.48,,0.21,,0.08,
